n_estimators,seq_mse,par_mse,mse_diff,seq_r2,par_r2,r2_diff,seq_time,par_time,time_saved
8,0.29713977654776447,0.29713977654776447,0.0,0.7781563792208295,0.7781563792208295,0.0,0.8326270580291748,0.9804689884185791,-0.1478419303894043
12,0.2823862652662861,0.2823862652662861,0.0,0.7891713042501057,0.7891713042501057,0.0,1.1740140914916992,1.451857328414917,-0.2778432369232178
16,0.27576634465442923,0.27576634465442923,0.0,0.7941137161172322,0.7941137161172322,0.0,1.5969278812408447,1.7644219398498535,-0.1674940586090088
20,0.27190097305726846,0.27190097305726846,0.0,0.7969995903705342,0.7969995903705342,0.0,1.9063408374786377,2.2540297508239746,-0.3476889133453369
24,0.2699806309276924,0.2699806309276924,0.0,0.7984333117528059,0.7984333117528059,0.0,2.2711281776428223,2.955514907836914,-0.6843867301940918
28,0.2686605006513051,0.2686605006513051,0.0,0.7994189168569643,0.7994189168569643,0.0,2.6575851440429688,3.3816561698913574,-0.7240710258483887
32,0.2662719163212334,0.2662719163212334,0.0,0.801202226390531,0.801202226390531,0.0,3.068061113357544,3.8628029823303223,-0.7947418689727783
36,0.26643452778314825,0.26643452778314825,0.0,0.8010808211855109,0.8010808211855109,0.0,3.3549089431762695,4.388624906539917,-1.0337159633636475
40,0.2634603416292359,0.2634603416292359,0.0,0.8033013391953208,0.8033013391953208,0.0,3.8020501136779785,4.8416008949279785,-1.03955078125
44,0.2622190308027057,0.2622190308027057,0.0,0.8042280979466035,0.8042280979466035,0.0,4.245177745819092,5.127064943313599,-0.8818871974945068
48,0.26138818532306274,0.26138818532306274,0.0,0.8048484045634202,0.8048484045634202,0.0,4.5274388790130615,5.7940778732299805,-1.266638994216919
52,0.2605600603467497,0.2605600603467497,0.0,0.805466680061024,0.805466680061024,0.0,4.879029035568237,5.797876834869385,-0.9188477993011475
56,0.26098757143818957,0.26098757143818957,0.0,0.8051475016273919,0.8051475016273919,0.0,5.2493369579315186,6.200742959976196,-0.9514060020446777
60,0.26051820963067807,0.26051820963067807,0.0,0.8054979256737569,0.8054979256737569,0.0,5.632456302642822,6.6472649574279785,-1.0148086547851562
64,0.2612420387420595,0.2612420387420595,0.0,0.8049575171402382,0.8049575171402382,0.0,5.952568054199219,7.050199031829834,-1.0976309776306152
68,0.261552292920406,0.261552292920406,0.0,0.8047258823484041,0.8047258823484041,0.0,6.44523024559021,7.220968008041382,-0.7757377624511719
72,0.26155718400154904,0.26155718400154904,0.0,0.8047222306826363,0.8047222306826363,0.0,6.801762104034424,7.523166179656982,-0.7214040756225586
76,0.2610724718584133,0.2610724718584133,0.0,0.8050841152412038,0.8050841152412038,0.0,7.128543138504028,7.682284832000732,-0.5537416934967041
80,0.26044813467151223,0.26044813467151223,0.0,0.8055502434174393,0.8055502434174393,0.0,7.555164098739624,8.090848207473755,-0.5356841087341309
84,0.25989372098451735,0.25989372098451735,0.0,0.8059641669289982,0.8059641669289982,0.0,8.031923055648804,8.29914903640747,-0.267225980758667
