n_estimators,mse,rmse,mae,r2,training_time
8,0.29713977654776447,0.5451052894145905,0.35513836179748065,0.7781563792208295,0.9804689884185791
12,0.2823862652662861,0.5314002872282684,0.3458022282784237,0.7891713042501057,1.451857328414917
16,0.27576634465442923,0.5251345967030064,0.34074686243338176,0.7941137161172322,1.7644219398498535
20,0.27190097305726846,0.521441246026116,0.33937165079941856,0.7969995903705342,2.2540297508239746
24,0.2699806309276924,0.5195966040378751,0.3373519845163114,0.7984333117528059,2.955514907836914
28,0.2686605006513051,0.5183247058083428,0.33591301745916385,0.7994189168569643,3.3816561698913574
32,0.2662719163212334,0.5160154225614129,0.3350901041666666,0.801202226390531,3.8628029823303223
36,0.26643452778314825,0.5161729630493526,0.33485538376130486,0.8010808211855109,4.388624906539917
40,0.2634603416292359,0.5132838801572049,0.3327572182655038,0.8033013391953208,4.8416008949279785
44,0.2622190308027057,0.5120732670260241,0.33186639496344256,0.8042280979466035,5.127064943313599
48,0.26138818532306274,0.5112613669377559,0.33151613018814596,0.8048484045634202,5.7940778732299805
52,0.2605600603467497,0.5104508402841058,0.3309639493887895,0.805466680061024,5.797876834869385
56,0.26098757143818957,0.5108694269949902,0.331276532867871,0.8051475016273919,6.200742959976196
60,0.26051820963067807,0.5104098447626947,0.3311749682251292,0.8054979256737569,6.6472649574279785
64,0.2612420387420595,0.5111184194901016,0.3317724862221415,0.8049575171402382,7.050199031829834
68,0.261552292920406,0.5114218346144462,0.33216629203716375,0.8047258823484041,7.220968008041382
72,0.26155718400154904,0.5114266164383205,0.33195076210567404,0.8047222306826363,7.523166179656982
76,0.2610724718584133,0.5109525142891591,0.3316257203373624,0.8050841152412038,7.682284832000732
80,0.26044813467151223,0.5103411943705037,0.3311750865734013,0.8055502434174393,8.090848207473755
84,0.25989372098451735,0.5097977255583996,0.3310838124942323,0.8059641669289982,8.29914903640747
